Country,Team,League,Attack,Midfield,Defence
France,Paris Saint-Germain,Ligue 1,84,86,85
Spain,FC Barcelona,La Liga,85,87,83
Spain,Real Madrid,La Liga,88,86,83
England,Arsenal,Premier League,84,85,83
England,Liverpool,Premier League,83,85,84
England,Manchester City,Premier League,85,85,82
Germany,FC Bayern München,Bundesliga,89,83,83
Italy,Inter,Serie A,86,84,83
Spain,Atlético Madrid,La Liga,85,81,82
England,Chelsea,Premier League,79,82,80
England,Newcastle United,Premier League,82,84,80
England,Tottenham Hotspur,Premier League,81,81,81
Germany,Borussia Dortmund,Bundesliga,81,80,81
Italy,Napoli,Serie A,80,84,80
England,Aston Villa,Premier League,84,80,80
England,Manchester United,Premier League,81,82,79
Germany,Bayer 04 Leverkusen,Bundesliga,81,80,79
Germany,RB Leipzig,Bundesliga,81,78,79
Italy,Juventus,Serie A,81,79,81
Italy,AC Milan,Serie A,81,80,77
England,Nottingham Forest,Premier League,79,78,80
Italy,Atalanta,Serie A,79,80,78
Italy,Lazio,Serie A,80,77,79
Italy,Roma,Serie A,78,79,79
Spain,Athletic Club,La Liga,79,81,78
Portugal,Sporting CP,Primeira Liga,77,80,77
England,Crystal Palace,Premier League,79,77,79
England,Brighton & Hove Albion,Premier League,78,78,78
England,West Ham United,Premier League,80,78,78
Germany,Eintracht Frankfurt,Bundesliga,78,77,78
France,AS Monaco,Ligue 1,77,79,78
Saudi Arabia,Al Hilal,Pro League,80,79,78
England,AFC Bournemouth,Premier League,78,78,76
Spain,Real Betis Balompié,La Liga,77,79,77
Spain,Real Sociedad,La Liga,79,78,76
France,Olympique de Marseille,Ligue 1,78,79,77
Spain,Villarreal CF,La Liga,82,78,76
Portugal,SL Benfica,Primeira Liga,80,78,77
Germany,VfB Stuttgart,Bundesliga,80,78,75
Italy,Fiorentina,Serie A,79,77,74
France,Lille OSC,Ligue 1,79,77,75
England,Brentford,Premier League,78,77,76
England,Fulham FC,Premier League,77,77,77
Germany,VfL Wolfsburg,Bundesliga,77,77,76
Italy,Bologna,Serie A,76,77,75
Spain,RCD Mallorca,La Liga,76,76,78
Spain,Rayo Vallecano,La Liga,73,77,77
Spain,Girona FC,La Liga,77,76,76
England,Everton,Premier League,76,76,76
England,Leeds United,Premier League,75,75,76
Saudi Arabia,Al Nassr,Pro League,79,75,74
Germany,Borussia Mönchengladbach,Bundesliga,76,76,75
Germany,SC Freiburg,Bundesliga,74,76,77
Italy,Torino,Serie A,78,75,75
France,Olympique Lyonnais,Ligue 1,77,76,75
Spain,Getafe CF,La Liga,75,75,76
France,OGC Nice,Ligue 1,76,76,75
France,Stade Rennais FC,Ligue 1,73,76,75
Argentina,River Plate,Liga Profesional de Fútbol,76,75,76
England,Wolverhampton Wanderers,Premier League,76,78,74
Spain,RC Celta,La Liga,78,76,76
Spain,Valencia CF,La Liga,78,76,75
Spain,CA Osasuna,La Liga,77,77,76
Spain,Sevilla FC,La Liga,74,76,75
Portugal,FC Porto,Primeira Liga,78,76,75
